en lampa (lampor) |lamp
en matta (mattor) |rug
en soffa (soffor) |sofa, couch
en fåtölj (fåtöljer) |armchair
en bokhylla (bokhyllor) |bookcase
ett bord (bord) |table
en vas (vaser) |vase
en gardin (gardiner) |curtain
en kudde (kuddar) |pillow
en blomma (blommor) |flower
en byrå (byråer) |chest of drawers
en tavla (tavlor) |painting
en bricka (brickor) |tray
en kniv (knivar) |knife
en sked (skedar) |spoon
en tesked (teskedar) |teaspoon
en mugg (muggar) |jug
en servett (servetter) |napkin
på |on
framför |in front of
bakom |behind
mellan |between
till höger om |to the right of
spanska |Spanish
en flicka (flickor) |girl
en pojke (pojkar) |boy
en sambo (sambor) |a partner you live with without being married
en lägenhet (lägenheter) |flat
1900-talet |20th century
en sångare (sångare) |singer
gillar (gillade, har gillat, att gilla, gilla!) |like
en idrott (idrotter) |athletics, sport
lång |tall
tjänar (tjänade, har tjänat, att tjäna, tjäna!) |earn
en peng (pengar) |money
Italien |Italy
magiska mål |magical goals
kallas |is called
ett/en fan (fans) |fan
riktig |real
historia |history (school subject)
